Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Biltam,https://www.crunchbase.com/organization/biltam,1983-01-01,year,51-100,,https://www.biltam.com.tr/,"Collaboration, Information Technology, IT Infrastructure, Network Security","Istanbul, Istanbul, Turkey","Biltam is an information technology company that specializes in network, security, data center, and collaboration consulting.","1,581,011",,,,,,,,,,,,
SideMark,https://www.crunchbase.com/organization/sidemark,1984-01-01,year,101-250,"SideMark provides furniture and walls for the office interiors of major corporations. The company is a strategic business partner, working in teams to create and consistently deliver superior workspace solutions. SideMark deals directly with over 200 top quality manufacturers including Teknion, to provide customers the best quality at the best price.",http://sidemark.com,"Collaboration, Furniture, Manufacturing","San Jose, California, United States",SideMark provides furniture and walls for the office interiors of major corporations.,"108,190",,,,,,,,,,,,
Ciaotech,https://www.crunchbase.com/organization/ciaotech,1984-01-01,year,251-500,"Ciaotech, also known as Innovation Place, is an open Innovation platform supporting collaborative research through the matching of pre-screened R&D projects, qualified organizations, and public funding opportunities. Through INNOVATION PLACE you can:  -Access information on European and National funding programmes for research and innovation.  -Browse project ideas and collaboration opportunities, and propose your organization as a partner.  -Search for highly qualified partners for your research projects.  -Receive a free listing of potential public funding opportunities for your research projects.  -Access networking opportunities and disseminate research project results.  -Manage your research projects portfolio through our platform.",https://www.pnoconsultants.com/it/,"Collaboration, Consulting, Innovation Management","Rome, Lazio, Italy",Ciaotech is a consulting company that offers support to companies and institutions in the research and innovation processes.,"141,899","25,164","11,059.5",141.43%,"2,076.92%",566,3.7,179.39%,39.23%,-42.06%,"1,338,620","-799,409",-37.39%
Odette,https://www.crunchbase.com/organization/odette,1984-01-01,year,1-10,,https://www.odette.org/,"Automotive, Collaboration, Information Services","London, England, United Kingdom","Odette provides collaborative platform and support services for logistics management, e-business communications & engineering data exchange.","773,818",898,"1,418.5",440.96%,51.36%,92,3.56,255.57%,46.88%,-53.12%,"7,169,298","-2,608,516",-26.68%
The Institute for Human Services,https://www.crunchbase.com/organization/the-institute-for-human-services,1984-01-01,year,11-50,"The Institute for Human Services offers management support, information and referral, organizational development, and research services to planners, and funders. They offer services to capacity building, governance, and operations support, strategic collaboration and communication between member and non-member organizations,  professional development and conferences aimed at organizational sustainability, and coordination of programs and services that enhance the capacity of other organizations.",https://www.ihsnet.org,"Collaboration, Consulting, Education, Non Profit","Bath, Bath and North East Somerset, United Kingdom","The Institute for Human Services provides management support, information and referral, organizational development, and research services.","792,245","3,495",,,,89,1.33,,66.67%,,"3,973,853",,
Kenerson Associates,https://www.crunchbase.com/organization/kenerson-associates,1984-01-01,year,11-50,,https://www.kenerson.com,"Collaboration, Commercial, Logistics, Supply Chain Management","Beverly, Massachusetts, United States",Kenerson Associates offers supply chain management services to versatile manufacturing industries.,"990,427",,,,,,,,,,,,
Veterinary Study Groups,https://www.crunchbase.com/organization/veterinary-study-groups,1984-01-01,year,11-50,,https://www.veterinarystudygroups.com,"Collaboration, Management Consulting, Veterinary","Silver Creek, Georgia, United States",Veterinary Study Groups collaborate with veterinary hospital owners for the business of veterinary medicine and to achieve practice success.,"1,413,071",,,,,,,,,,,,
SIRS Inc,https://www.crunchbase.com/organization/sirs-inc,1985-01-01,year,51-100,"SIRS is a collaboration of really smart people, who have been helping clients to create a competitive advantage since the 1970’s. SIRS was founded in 1985 by a group of Kroger research executives who were key players in helping the national grocery go from “Good to Great” (as described in Jim Collins 2003 book).",,Collaboration,"Covington, Kentucky, United States","SIRS provides online, CD-ROM, and print reference databases to libraries.","2,224,032",,,,,,,,,,,,
Tilton Technology,https://www.crunchbase.com/organization/tilton-technology,1985-05-01,day,1-10,"Tilton Technology publishes expert-system powered math tutoring software that is able to work alongside the student step-by-step on randomly generated problems or any problem the student enters that is within the software's scope. The software also offers a forum in which teachers and students can collaborate, using a WYSIWYG maths editor to facilitate exchange of specific expressions. First offered in 1987 for Macintosh and then PC desktop computers, the software has now been delivered as a Web application. The new Web version includes a so-called ""Mission-mode"" in which students work unaided up a tree of Algebra skills, with new Missions becoming available as the student masters each mission. The initial title covers the basics of Algebra and will soon be extended to cover the bulk of the conventional Algebra I curriculum.",http://stuckonalgebra.com,"Collaboration, EdTech, Education, Software","Fort Lauderdale, Florida, United States",Educational math software developer,"1,447,145",,,,,,,,,,,,
West Corporation,https://www.crunchbase.com/organization/west-corporation,1986-01-01,year,10001+,"West Corporation is a leading provider of technology-driven, voice-oriented solutions. West offers its clients a broad range of communications and infrastructure management solutions that help them manage or support critical communications. West's customer contact solutions and conferencing services are designed to improve its clients' cost structure and provide reliable, high-quality services. West also provides mission-critical services, such as public safety and emergency communications.",http://www.west.com,"Collaboration, Information Technology, Telecommunications","Omaha, Nebraska, United States","West Corp is a provider of technology-driven, voice-oriented solutions.","131,501","51,427","107,087",-19.31%,-61.18%,59,1.99,10.87%,33.86%,9.3%,"849,526","134,392",18.79%
ATOS MEDICAL,https://www.crunchbase.com/organization/atos-medical,1986-01-01,year,251-500,"Atos Medical was founded in 1986 and today has a vast international network with subsidiaries in the USA, UK, Germany, Spain, Netherlands, Belgium, Sweden and Switzerland and also exclusive distributors serving about 60 countries. The head office is situated in Sweden, where a state-of-the-art clean room and laboratory make it possible to perform all tests required for successful R&D.",http://www.atosmedical.com,"Collaboration, Health Care","West Allis, Wisconsin, United States","Atos Medical was founded in 1986 and today has a vast international network with subsidiaries in the USA, UK, Germany, Spain, Netherlands,","213,691","4,545","8,265.5",38.02%,-69.72%,99,1.65,-52.74%,59.96%,23.45%,"3,578,341","-457,917",-11.35%
ELB Education,https://www.crunchbase.com/organization/elb-education,1986-01-01,day,,,https://www.elbeducation.com/,"Collaboration, Computer, Education","Pleasanton, California, United States","ELB Education provides visual collaboration and unified communication products, services and solutions to the education sector.","587,967",,,,,,,,,,,,
Southern Minnesota Initiative Foundation - SMIF,https://www.crunchbase.com/organization/southern-minnesota-initiative-foundation-smif,1986-01-01,year,11-50,"Southern Minnesota Initiative Foundation (SMIF) is a non-profit organization that works to leverage assets, foster collaboration, increase funding, and enhance knowledge. It promotes regional economic opportunities and collaborations with a focus on entrepreneurs and early childhood development. The organization serves 20 counties in southern Minnesota. It provides loans to businesses that create and support jobs; awards early childhood and community grants to schools, governments, and non-profit organizations; builds partnerships that lead to collaboration; supports and manages local community foundations; and helps others give back to their communities. Southern Minnesota Initiative Foundation was founded in 1986 and is based in Owatonna, Minnesota.",http://smifoundation.org/,"Collaboration, Communities, Non Profit","Owatonna, Minnesota, United States","Southern Minnesota Initiative Foundation works to leverage assets, foster collaboration, increase funding, and enhance knowledge.","902,171","3,244","3,936.67",-0.52%,462.71%,332,4.5,251.15%,50%,-30.4%,"4,145,826","63,983",1.57%
